Date,Store,Item,Price
2026-05-06,Smith's (Kroger),Milk (1gal),3.69
2026-05-06,Sprouts,Milk (1gal),4.49
2026-05-06,Food King,Milk (1gal),3.1
2026-05-13,Smith's (Kroger),Milk (1gal),3.75
2026-05-13,Sprouts,Milk (1gal),4.55
2026-05-13,Food King,Milk (1gal),3.15
2026-05-13,Smith's (Kroger),"Eggs (Large, Dozen)",2.49
2026-05-13,Sprouts,"Eggs (Large, Dozen)",3.99
2026-05-13,Food King,"Eggs (Large, Dozen)",2.15
2026-05-13,Smith's (Kroger),"Bread (White, 20oz)",1.99
2026-05-13,Sprouts,"Bread (White, 20oz)",3.29
2026-05-13,Food King,"Bread (White, 20oz)",1.5
2026-05-13,Smith's (Kroger),Chicken Breast (1lb),4.99
2026-05-13,Sprouts,Chicken Breast (1lb),5.99
2026-05-13,Food King,Chicken Breast (1lb),3.9
2026-05-13,Smith's (Kroger),Water (1gal),1.25
2026-05-13,Sprouts,Water (1gal),1.5
2026-05-13,Food King,Water (1gal),0.99
2026-05-13,Smith's (Kroger),"Apples (Gala, 1lb)",1.88
2026-05-13,Sprouts,"Apples (Gala, 1lb)",2.49
2026-05-13,Food King,"Apples (Gala, 1lb)",1.45
2026-05-13,Smith's (Kroger),"Butter (Salted, 1lb)",4.49
2026-05-13,Sprouts,"Butter (Salted, 1lb)",5.99
2026-05-13,Food King,"Butter (Salted, 1lb)",3.99
2026-05-13,Smith's (Kroger),Cheerios (12oz),3.99
2026-05-13,Sprouts,Cheerios (12oz),4.99
2026-05-13,Food King,Cheerios (12oz),3.5
