Date,Store,Item,Price
2026-05-06,Smith's (Kroger),"Milk (1gal, Whole)",3.59
2026-05-06,Sprouts,"Milk (1gal, Whole)",3.95
2026-05-06,Food King,"Milk (1gal, Whole)",2.97
2026-05-06,Smith's (Kroger),"Eggs (Large, Dozen)",2.34
2026-05-06,Sprouts,"Eggs (Large, Dozen)",3.17
2026-05-06,Food King,"Eggs (Large, Dozen)",2.19
2026-05-13,Smith's (Kroger),"Milk (1gal, Whole)",3.43
2026-05-13,Sprouts,"Milk (1gal, Whole)",4.15
2026-05-13,Food King,"Milk (1gal, Whole)",3.02
2026-05-13,Smith's (Kroger),"Eggs (Large, Dozen)",2.41
2026-05-13,Sprouts,"Eggs (Large, Dozen)",2.98
2026-05-13,Food King,"Eggs (Large, Dozen)",2.3
2026-05-20,Smith's (Kroger),"Milk (1gal, Whole)",3.48
2026-05-20,Sprouts,"Milk (1gal, Whole)",4.16
2026-05-20,Food King,"Milk (1gal, Whole)",2.92
2026-05-20,Smith's (Kroger),"Eggs (Large, Dozen)",2.61
2026-05-20,Sprouts,"Eggs (Large, Dozen)",3.19
2026-05-20,Food King,"Eggs (Large, Dozen)",2.18
2026-05-27,Smith's (Kroger),"Milk (1gal, Whole)",3.38
2026-05-27,Sprouts,"Milk (1gal, Whole)",4.13
2026-05-27,Food King,"Milk (1gal, Whole)",3.11
2026-05-27,Smith's (Kroger),"Eggs (Large, Dozen)",2.52
2026-05-27,Sprouts,"Eggs (Large, Dozen)",2.82
2026-05-27,Food King,"Eggs (Large, Dozen)",2.16
